Geography,Formatted Name,Median income of household ($),20% of AMHI,50% of AMHI,80% of AMHI,120% of AMHI,20% or under of AMHI,21% to 50% of AMHI,51% to 80% of AMHI,81% to 120% of AMHI,121% and more of AMHI,Rent AMHI,Rent 20% of AMHI,Rent 50% of AMHI,Rent 80% of AMHI,Rent 120% of AMHI,20% or under of AMHI,21% to 50% of AMHI,51% to 80% of AMHI,81% to 120% of AMHI,121% and more of AMHI
  Abbey VL (4708048) 01909 (  6.3%),"Abbey VL (CSD, SK)",,,,,,,,,,,,,,,,,,,,
  Bjorkdale VL (4714041) 00919 ( 10.5%),"Bjorkdale VL (CSD, SK)",,,,,,,,,,,,,,,,,,,,
  Black Diamond T (4806011) 00000 (  6.4%),"Black Diamond T (CSD, AL)",76000,15200,38000,60800,91200,"<= $15,200","$15,200 - $38,000","$38,000 - $60,800","$60,800 - $91,200",">= $91,201",1900,380,950,1520,"$2,280",<= $380,$380 - $950,"$950 - $1,520","$1,520 - $2,280",">= $2,281"
  Black Point NH (4718089) 09999 (  6.7%),"Black Point NH (CSD, SK)",,,,,,,,,,,,,,,,,,,,
  Black River-Matheson TP (3556014) 00010 ( 13.0%),"Black River-Matheson TP (CSD, ON)",80000,16000,40000,64000,96000,"<= $16,000","$16,000 - $40,000","$40,000 - $64,000","$64,000 - $96,000",">= $96,001",2000,400,1000,1600,"$2,400",<= $400,"$400 - $1,000","$1,000 - $1,600","$1,600 - $2,400",">= $2,401"
  Blackfalds T (4808029) 00000 (  7.3%),"Blackfalds T (CSD, AL)",103000,20600,51500,82400,123600,"<= $20,600","$20,600 - $51,500","$51,500 - $82,400","$82,400 - $123,600",">= $123,601",2575,515,1287.5,2060,"$3,090",<= $515,"$515 - $1,288","$1,288 - $2,060","$2,060 - $3,090",">= $3,091"
  Bladworth VL (4711038) 01929 ( 28.6%),"Bladworth VL (CSD, SK)",,,,,,,,,,,,,,,,,,,,
  Blaine Lake No. 434 RM (4716013) 00000 (  5.9%),"Blaine Lake No. 434 RM (CSD, SK)",83000,16600,41500,66400,99600,"<= $16,600","$16,600 - $41,500","$41,500 - $66,400","$66,400 - $99,600",">= $99,601",2075,415,1037.5,1660,"$2,490",<= $415,"$415 - $1,038","$1,038 - $1,660","$1,660 - $2,490",">= $2,491"
  Blaine Lake T (4716016) 00000 (  3.4%),"Blaine Lake T (CSD, SK)",55200,11040,27600,44160,66240,"<= $11,040","$11,040 - $27,600","$27,600 - $44,160","$44,160 - $66,240",">= $66,241",1380,276,690,1104,"$1,656",<= $276,$276 - $690,"$690 - $1,104","$1,104 - $1,656",">= $1,657"
  Blainville V (2473015) 00000 (  1.6%),"Blainville V (CSD, QC)",106000,21200,53000,84800,127200,"<= $21,200","$21,200 - $53,000","$53,000 - $84,800","$84,800 - $127,200",">= $127,201",2650,530,1325,2120,"$3,180",<= $530,"$530 - $1,325","$1,325 - $2,120","$2,120 - $3,180",">= $3,181"
  Blanc-Sablon MÃ‰ (2498005) 00000 (  3.5%),"Blanc-Sablon MÉ (CSD, QC)",88000,17600,44000,70400,105600,"<= $17,600","$17,600 - $44,000","$44,000 - $70,400","$70,400 - $105,600",">= $105,601",2200,440,1100,1760,"$2,640",<= $440,"$440 - $1,100","$1,100 - $1,760","$1,760 - $2,640",">= $2,641"
  Blandford-Blenheim TP (3532045) 00000 (  3.1%),"Blandford-Blenheim TP (CSD, ON)",109000,21800,54500,87200,130800,"<= $21,800","$21,800 - $54,500","$54,500 - $87,200","$87,200 - $130,800",">= $130,801",2725,545,1362.5,2180,"$3,270",<= $545,"$545 - $1,363","$1,363 - $2,180","$2,180 - $3,270",">= $3,271"
  Blind River T (3557038) 00000 (  5.1%),"Blind River T (CSD, ON)",60000,12000,30000,48000,72000,"<= $12,000","$12,000 - $30,000","$30,000 - $48,000","$48,000 - $72,000",">= $72,001",1500,300,750,1200,"$1,800",<= $300,$300 - $750,"$750 - $1,200","$1,200 - $1,800",">= $1,801"
  Blucher No. 343 RM (4711069) 00000 (  2.2%),"Blucher No. 343 RM (CSD, SK)",103000,20600,51500,82400,123600,"<= $20,600","$20,600 - $51,500","$51,500 - $82,400","$82,400 - $123,600",">= $123,601",2575,515,1287.5,2060,"$3,090",<= $515,"$515 - $1,288","$1,288 - $2,060","$2,060 - $3,090",">= $3,091"
  Blue Sea MÃ‰ (2483045) 01010 ( 13.3%),"Blue Sea MÉ (CSD, QC)",59600,11920,29800,47680,71520,"<= $11,920","$11,920 - $29,800","$29,800 - $47,680","$47,680 - $71,520",">= $71,521",1490,298,745,1192,"$1,788",<= $298,$298 - $745,"$745 - $1,192","$1,192 - $1,788",">= $1,789"
  Bluewater MU (3540010) 00000 (  6.7%),"Bluewater MU (CSD, ON)",84000,16800,42000,67200,100800,"<= $16,800","$16,800 - $42,000","$42,000 - $67,200","$67,200 - $100,800",">= $100,801",2100,420,1050,1680,"$2,520",<= $420,"$420 - $1,050","$1,050 - $1,680","$1,680 - $2,520",">= $2,521"
  Boileau MÃ‰ (2480115) 01010 ( 13.0%),"Boileau MÉ (CSD, QC)",60800,12160,30400,48640,72960,"<= $12,160","$12,160 - $30,400","$30,400 - $48,640","$48,640 - $72,960",">= $72,961",1520,304,760,1216,"$1,824",<= $304,$304 - $760,"$760 - $1,216","$1,216 - $1,824",">= $1,825"
  Boisbriand V (2473005) 00000 (  3.0%),"Boisbriand V (CSD, QC)",87000,17400,43500,69600,104400,"<= $17,400","$17,400 - $43,500","$43,500 - $69,600","$69,600 - $104,400",">= $104,401",2175,435,1087.5,1740,"$2,610",<= $435,"$435 - $1,088","$1,088 - $1,740","$1,740 - $2,610",">= $2,611"
  Boischatel MÃ‰ (2421045) 00000 (  1.5%),"Boischatel MÉ (CSD, QC)",119000,23800,59500,95200,142800,"<= $23,800","$23,800 - $59,500","$59,500 - $95,200","$95,200 - $142,800",">= $142,801",2975,595,1487.5,2380,"$3,570",<= $595,"$595 - $1,488","$1,488 - $2,380","$2,380 - $3,570",">= $3,571"
  Bois-des-Filion V (2473030) 00000 (  2.7%),"Bois-des-Filion V (CSD, QC)",83000,16600,41500,66400,99600,"<= $16,600","$16,600 - $41,500","$41,500 - $66,400","$66,400 - $99,600",">= $99,601",2075,415,1037.5,1660,"$2,490",<= $415,"$415 - $1,038","$1,038 - $1,660","$1,660 - $2,490",">= $2,491"
  Bois-Franc MÃ‰ (2483085) 00000 (  0.5%),"Bois-Franc MÉ (CSD, QC)",75500,15100,37750,60400,90600,"<= $15,100","$15,100 - $37,750","$37,750 - $60,400","$60,400 - $90,600",">= $90,601",1887.5,377.5,943.75,1510,"$2,265",<= $378,$378 - $944,"$944 - $1,510","$1,510 - $2,265",">= $2,266"
  Boissevain-Morton MU (4605032) 00000 (  2.9%),"Boissevain-Morton MU (CSD, MB)",66500,13300,33250,53200,79800,"<= $13,300","$13,300 - $33,250","$33,250 - $53,200","$53,200 - $79,800",">= $79,801",1662.5,332.5,831.25,1330,"$1,995",<= $333,$333 - $831,"$831 - $1,330","$1,330 - $1,995",">= $1,996"
  Bolton-Est MÃ‰ (2445095) 00000 (  9.7%),"Bolton-Est MÉ (CSD, QC)",72000,14400,36000,57600,86400,"<= $14,400","$14,400 - $36,000","$36,000 - $57,600","$57,600 - $86,400",">= $86,401",1800,360,900,1440,"$2,160",<= $360,$360 - $900,"$900 - $1,440","$1,440 - $2,160",">= $2,161"
  Bolton-Ouest MÃ‰ (2446065) 00000 (  5.6%),"Bolton-Ouest MÉ (CSD, QC)",78500,15700,39250,62800,94200,"<= $15,700","$15,700 - $39,250","$39,250 - $62,800","$62,800 - $94,200",">= $94,201",1962.5,392.5,981.25,1570,"$2,355",<= $393,$393 - $981,"$981 - $1,570","$1,570 - $2,355",">= $2,356"
  Bon Accord T (4811066) 00000 (  3.8%),"Bon Accord T (CSD, AL)",100000,20000,50000,80000,120000,"<= $20,000","$20,000 - $50,000","$50,000 - $80,000","$80,000 - $120,000",">= $120,001",2500,500,1250,2000,"$3,000",<= $500,"$500 - $1,250","$1,250 - $2,000","$2,000 - $3,000",">= $3,001"
Bonaventure (2405) 00000 (  3.9%),"Bonaventure (CD, QC)",61600,12320,30800,49280,73920,"<= $12,320","$12,320 - $30,800","$30,800 - $49,280","$49,280 - $73,920",">= $73,921",1540,308,770,1232,"$1,848",<= $308,$308 - $770,"$770 - $1,232","$1,232 - $1,848",">= $1,849"
  Bonaventure V (2405045) 00000 (  6.5%),"Bonaventure V (CSD, QC)",57600,11520,28800,46080,69120,"<= $11,520","$11,520 - $28,800","$28,800 - $46,080","$46,080 - $69,120",">= $69,121",1440,288,720,1152,"$1,728",<= $288,$288 - $720,"$720 - $1,152","$1,152 - $1,728",">= $1,729"
  Bondiss SV (4813053) 02929 ( 25.0%),"Bondiss SV (CSD, AL)",,,,,,,,,,,,,,,,,,,,
  Bone Creek No. 108 RM (4704058) 00000 (  6.7%),"Bone Creek No. 108 RM (CSD, SK)",54400,10880,27200,43520,65280,"<= $10,880","$10,880 - $27,200","$27,200 - $43,520","$43,520 - $65,280",">= $65,281",1360,272,680,1088,"$1,632",<= $272,$272 - $680,"$680 - $1,088","$1,088 - $1,632",">= $1,633"
  Bonfield TP (3548027) 00000 (  5.1%),"Bonfield TP (CSD, ON)",77500,15500,38750,62000,93000,"<= $15,500","$15,500 - $38,750","$38,750 - $62,000","$62,000 - $93,000",">= $93,001",1937.5,387.5,968.75,1550,"$2,325",<= $388,$388 - $969,"$969 - $1,550","$1,550 - $2,325",">= $2,326"
  Bonnechere Valley TP (3547035) 00000 (  4.5%),"Bonnechere Valley TP (CSD, ON)",69500,13900,34750,55600,83400,"<= $13,900","$13,900 - $34,750","$34,750 - $55,600","$55,600 - $83,400",">= $83,401",1737.5,347.5,868.75,1390,"$2,085",<= $348,$348 - $869,"$869 - $1,390","$1,390 - $2,085",">= $2,086"
  Bonne-EspÃ©rance MÃ‰ (2498010) 00000 (  7.5%),"Bonne-Espérance MÉ (CSD, QC)",81000,16200,40500,64800,97200,"<= $16,200","$16,200 - $40,500","$40,500 - $64,800","$64,800 - $97,200",">= $97,201",2025,405,1012.5,1620,"$2,430",<= $405,"$405 - $1,013","$1,013 - $1,620","$1,620 - $2,430",">= $2,431"
  Bonnyville Beach SV (4812011) 01909 (  0.0%),"Bonnyville Beach SV (CSD, AL)",,,,,,,,,,,,,,,,,,,,
  Bonnyville No. 87 MD (4812004) 00010 ( 13.8%),"Bonnyville No. 87 MD (CSD, AL)",115000,23000,57500,92000,138000,"<= $23,000","$23,000 - $57,500","$57,500 - $92,000","$92,000 - $138,000",">= $138,001",2875,575,1437.5,2300,"$3,450",<= $575,"$575 - $1,438","$1,438 - $2,300","$2,300 - $3,450",">= $3,451"
  Bonnyville T (4812009) 00010 ( 16.2%),"Bonnyville T (CSD, AL)",86000,17200,43000,68800,103200,"<= $17,200","$17,200 - $43,000","$43,000 - $68,800","$68,800 - $103,200",">= $103,201",2150,430,1075,1720,"$2,580",<= $430,"$430 - $1,075","$1,075 - $1,720","$1,720 - $2,580",">= $2,581"
  Bonsecours MÃ‰ (2442040) 00000 (  2.7%),"Bonsecours MÉ (CSD, QC)",67000,13400,33500,53600,80400,"<= $13,400","$13,400 - $33,500","$33,500 - $53,600","$53,600 - $80,400",">= $80,401",1675,335,837.5,1340,"$2,010",<= $335,$335 - $838,"$838 - $1,340","$1,340 - $2,010",">= $2,011"
  Borden VL (4716011) 00000 (  0.0%),"Borden VL (CSD, SK)",89000,17800,44500,71200,106800,"<= $17,800","$17,800 - $44,500","$44,500 - $71,200","$71,200 - $106,800",">= $106,801",2225,445,1112.5,1780,"$2,670",<= $445,"$445 - $1,113","$1,113 - $1,780","$1,780 - $2,670",">= $2,671"
  Boucherville V (2458033) 00000 (  1.1%),"Boucherville V (CSD, QC)",109000,21800,54500,87200,130800,"<= $21,800","$21,800 - $54,500","$54,500 - $87,200","$87,200 - $130,800",">= $130,801",2725,545,1362.5,2180,"$3,270",<= $545,"$545 - $1,363","$1,363 - $2,180","$2,180 - $3,270",">= $3,271"
  Bouchette MÃ‰ (2483050) 01010 ( 10.6%),"Bouchette MÉ (CSD, QC)",59600,11920,29800,47680,71520,"<= $11,920","$11,920 - $29,800","$29,800 - $47,680","$47,680 - $71,520",">= $71,521",1490,298,745,1192,"$1,788",<= $298,$298 - $745,"$745 - $1,192","$1,192 - $1,788",">= $1,789"
  Bow Island T (4801014) 00000 (  2.4%),"Bow Island T (CSD, AL)",78000,15600,39000,62400,93600,"<= $15,600","$15,600 - $39,000","$39,000 - $62,400","$62,400 - $93,600",">= $93,601",1950,390,975,1560,"$2,340",<= $390,$390 - $975,"$975 - $1,560","$1,560 - $2,340",">= $2,341"
  Bowden T (4808006) 00000 (  9.7%),"Bowden T (CSD, AL)",70000,14000,35000,56000,84000,"<= $14,000","$14,000 - $35,000","$35,000 - $56,000","$56,000 - $84,000",">= $84,001",1750,350,875,1400,"$2,100",<= $350,$350 - $875,"$875 - $1,400","$1,400 - $2,100",">= $2,101"
  Bowen Island IM (5915062) 00000 (  8.6%),"Bowen Island IM (CSD, BC)",112000,22400,56000,89600,134400,"<= $22,400","$22,400 - $56,000","$56,000 - $89,600","$89,600 - $134,400",">= $134,401",2800,560,1400,2240,"$3,360",<= $560,"$560 - $1,400","$1,400 - $2,240","$2,240 - $3,360",">= $3,361"
  Bowman MÃ‰ (2480145) 01010 ( 15.7%),"Bowman MÉ (CSD, QC)",60400,12080,30200,48320,72480,"<= $12,080","$12,080 - $30,200","$30,200 - $48,320","$48,320 - $72,480",">= $72,481",1510,302,755,1208,"$1,812",<= $302,$302 - $755,"$755 - $1,208","$1,208 - $1,812",">= $1,813"
  Boyle VL (4813046) 00000 (  9.8%),"Boyle VL (CSD, AL)",75000,15000,37500,60000,90000,"<= $15,000","$15,000 - $37,500","$37,500 - $60,000","$60,000 - $90,000",">= $90,001",1875,375,937.5,1500,"$2,250",<= $375,$375 - $938,"$938 - $1,500","$1,500 - $2,250",">= $2,251"
  BrÃ©beuf PE (2478075) 00000 (  7.3%),"Brébeuf PE (CSD, QC)",62800,12560,31400,50240,75360,"<= $12,560","$12,560 - $31,400","$31,400 - $50,240","$50,240 - $75,360",">= $75,361",1570,314,785,1256,"$1,884",<= $314,$314 - $785,"$785 - $1,256","$1,256 - $1,884",">= $1,885"
  Bracebridge T (3544018) 00000 (  3.5%),"Bracebridge T (CSD, ON)",85000,17000,42500,68000,102000,"<= $17,000","$17,000 - $42,500","$42,500 - $68,000","$68,000 - $102,000",">= $102,001",2125,425,1062.5,1700,"$2,550",<= $425,"$425 - $1,063","$1,063 - $1,700","$1,700 - $2,550",">= $2,551"
  Bracken VL (4704008) 09999 (  0.0%),"Bracken VL (CSD, SK)",,,,,,,,,,,,,,,,,,,,
  Bradford West Gwillimbury T (3543014) 00000 (  4.3%),"Bradford West Gwillimbury T (CSD, ON)",115000,23000,57500,92000,138000,"<= $23,000","$23,000 - $57,500","$57,500 - $92,000","$92,000 - $138,000",">= $138,001",2875,575,1437.5,2300,"$3,450",<= $575,"$575 - $1,438","$1,438 - $2,300","$2,300 - $3,450",">= $3,451"
  Bradwell VL (4711071) 00909 (  6.7%),"Bradwell VL (CSD, SK)",,,,,,,,,,,,,,,,,,,,
  Brampton CY (3521010) 00000 (  3.3%),"Brampton CY (CSD, ON)",111000,22200,55500,88800,133200,"<= $22,200","$22,200 - $55,500","$55,500 - $88,800","$88,800 - $133,200",">= $133,201",2775,555,1387.5,2220,"$3,330",<= $555,"$555 - $1,388","$1,388 - $2,220","$2,220 - $3,330",">= $3,331"
  Brandon CY (4607062) 00000 (  2.9%),"Brandon CY (CSD, MB)",76500,15300,38250,61200,91800,"<= $15,300","$15,300 - $38,250","$38,250 - $61,200","$61,200 - $91,800",">= $91,801",1912.5,382.5,956.25,1530,"$2,295",<= $383,$383 - $956,"$956 - $1,530","$1,530 - $2,295",">= $2,296"
Brant (3529) 00000 (  3.7%),"Brant (CD, ON)",85000,17000,42500,68000,102000,"<= $17,000","$17,000 - $42,500","$42,500 - $68,000","$68,000 - $102,000",">= $102,001",2125,425,1062.5,1700,"$2,550",<= $425,"$425 - $1,063","$1,063 - $1,700","$1,700 - $2,550",">= $2,551"
  Brant CY (3529005) 00000 (  2.8%),"Brant CY (CSD, ON)",108000,21600,54000,86400,129600,"<= $21,600","$21,600 - $54,000","$54,000 - $86,400","$86,400 - $129,600",">= $129,601",2700,540,1350,2160,"$3,240",<= $540,"$540 - $1,350","$1,350 - $2,160","$2,160 - $3,240",">= $3,241"
  Brantford CY (3529006) 00000 (  4.0%),"Brantford CY (CSD, ON)",79500,15900,39750,63600,95400,"<= $15,900","$15,900 - $39,750","$39,750 - $63,600","$63,600 - $95,400",">= $95,401",1987.5,397.5,993.75,1590,"$2,385",<= $398,$398 - $994,"$994 - $1,590","$1,590 - $2,385",">= $2,386"
  Bratt's Lake No. 129 RM (4706013) 00000 (  7.1%),"Bratt's Lake No. 129 RM (CSD, SK)",101000,20200,50500,80800,121200,"<= $20,200","$20,200 - $50,500","$50,500 - $80,800","$80,800 - $121,200",">= $121,201",2525,505,1262.5,2020,"$3,030",<= $505,"$505 - $1,263","$1,263 - $2,020","$2,020 - $3,030",">= $3,031"
  Brazeau County MD (4811032) 00000 (  9.1%),"Brazeau County MD (CSD, AL)",96000,19200,48000,76800,115200,"<= $19,200","$19,200 - $48,000","$48,000 - $76,800","$76,800 - $115,200",">= $115,201",2400,480,1200,1920,"$2,880",<= $480,"$480 - $1,200","$1,200 - $1,920","$1,920 - $2,880",">= $2,881"
  Bredenbury T (4705079) 00000 (  2.6%),"Bredenbury T (CSD, SK)",65500,13100,32750,52400,78600,"<= $13,100","$13,100 - $32,750","$32,750 - $52,400","$52,400 - $78,600",">= $78,601",1637.5,327.5,818.75,1310,"$1,965",<= $328,$328 - $819,"$819 - $1,310","$1,310 - $1,965",">= $1,966"
  Brenda-Waskada MU (4605044) 00000 (  2.9%),"Brenda-Waskada MU (CSD, MB)",63200,12640,31600,50560,75840,"<= $12,640","$12,640 - $31,600","$31,600 - $50,560","$50,560 - $75,840",">= $75,841",1580,316,790,1264,"$1,896",<= $316,$316 - $790,"$790 - $1,264","$1,264 - $1,896",">= $1,897"
  Brethour TP (3554032) 00909 (  0.0%),"Brethour TP (CSD, ON)",,,,,,,,,,,,,,,,,,,,
  Breton VL (4811026) 00000 (  6.2%),"Breton VL (CSD, AL)",53600,10720,26800,42880,64320,"<= $10,720","$10,720 - $26,800","$26,800 - $42,880","$42,880 - $64,320",">= $64,321",1340,268,670,1072,"$1,608",<= $268,$268 - $670,"$670 - $1,072","$1,072 - $1,608",">= $1,609"
  Briercrest VL (4706018) 00909 (  0.0%),"Briercrest VL (CSD, SK)",,,,,,,,,,,,,,,,,,,,
  Brigham MÃ‰ (2446090) 00000 (  2.6%),"Brigham MÉ (CSD, QC)",78000,15600,39000,62400,93600,"<= $15,600","$15,600 - $39,000","$39,000 - $62,400","$62,400 - $93,600",">= $93,601",1950,390,975,1560,"$2,340",<= $390,$390 - $975,"$975 - $1,560","$1,560 - $2,340",">= $2,341"
  Brighton MU (3514004) 00000 (  3.1%),"Brighton MU (CSD, ON)",81000,16200,40500,64800,97200,"<= $16,200","$16,200 - $40,500","$40,500 - $64,800","$64,800 - $97,200",">= $97,201",2025,405,1012.5,1620,"$2,430",<= $405,"$405 - $1,013","$1,013 - $1,620","$1,620 - $2,430",">= $2,431"
  Bristol MÃ‰ (2484005) 01010 ( 16.9%),"Bristol MÉ (CSD, QC)",71000,14200,35500,56800,85200,"<= $14,200","$14,200 - $35,500","$35,500 - $56,800","$56,800 - $85,200",">= $85,201",1775,355,887.5,1420,"$2,130",<= $355,$355 - $888,"$888 - $1,420","$1,420 - $2,130",">= $2,131"
  Britannia No. 502 RM (4717028) 00000 (  6.0%),"Britannia No. 502 RM (CSD, SK)",126000,25200,63000,100800,151200,"<= $25,200","$25,200 - $63,000","$63,000 - $100,800","$100,800 - $151,200",">= $151,201",3150,630,1575,2520,"$3,780",<= $630,"$630 - $1,575","$1,575 - $2,520","$2,520 - $3,780",">= $3,781"
British Columbia (59) 00000 (  4.6%),British Columbia (Province),86000,17200,43000,68800,103200,"<= $17,200","$17,200 - $43,000","$43,000 - $68,800","$68,800 - $103,200",">= $103,201",2150,430,1075,1720,"$2,580",<= $430,"$430 - $1,075","$1,075 - $1,720","$1,720 - $2,580",">= $2,581"
  Broadview T (4705031) 00010 ( 10.9%),"Broadview T (CSD, SK)",54400,10880,27200,43520,65280,"<= $10,880","$10,880 - $27,200","$27,200 - $43,520","$43,520 - $65,280",">= $65,281",1360,272,680,1088,"$1,632",<= $272,$272 - $680,"$680 - $1,088","$1,088 - $1,632",">= $1,633"
  Brock No. 64 RM (4701058) 00009 (  3.6%),"Brock No. 64 RM (CSD, SK)",,,,,,,,,,,,,,,,,,,,
  Brock TP (3518039) 00000 (  7.4%),"Brock TP (CSD, ON)",92000,18400,46000,73600,110400,"<= $18,400","$18,400 - $46,000","$46,000 - $73,600","$73,600 - $110,400",">= $110,401",2300,460,1150,1840,"$2,760",<= $460,"$460 - $1,150","$1,150 - $1,840","$1,840 - $2,760",">= $2,761"
  Brock VL (4713002) 00909 (  7.1%),"Brock VL (CSD, SK)",,,,,,,,,,,,,,,,,,,,
  Brockton MU (3541032) 00000 (  3.5%),"Brockton MU (CSD, ON)",82000,16400,41000,65600,98400,"<= $16,400","$16,400 - $41,000","$41,000 - $65,600","$65,600 - $98,400",">= $98,401",2050,410,1025,1640,"$2,460",<= $410,"$410 - $1,025","$1,025 - $1,640","$1,640 - $2,460",">= $2,461"
  Brockville CY (3507015) 00000 (  1.7%),"Brockville CY (CSD, ON)",64500,12900,32250,51600,77400,"<= $12,900","$12,900 - $32,250","$32,250 - $51,600","$51,600 - $77,400",">= $77,401",1612.5,322.5,806.25,1290,"$1,935",<= $323,$323 - $806,"$806 - $1,290","$1,290 - $1,935",">= $1,936"
  Broderick VL (4711028) 00909 (  0.0%),"Broderick VL (CSD, SK)",,,,,,,,,,,,,,,,,,,,
  Brokenhead RM (4612054) 00000 (  3.9%),"Brokenhead RM (CSD, MB)",94000,18800,47000,75200,112800,"<= $18,800","$18,800 - $47,000","$47,000 - $75,200","$75,200 - $112,800",">= $112,801",2350,470,1175,1880,"$2,820",<= $470,"$470 - $1,175","$1,175 - $1,880","$1,880 - $2,820",">= $2,821"
  Brokenshell No. 68 RM (4702051) 00000 (  3.4%),"Brokenshell No. 68 RM (CSD, SK)",58400,11680,29200,46720,70080,"<= $11,680","$11,680 - $29,200","$29,200 - $46,720","$46,720 - $70,080",">= $70,081",1460,292,730,1168,"$1,752",<= $292,$292 - $730,"$730 - $1,168","$1,168 - $1,752",">= $1,753"
  Brome VL (2446070) 00000 (  5.6%),"Brome VL (CSD, QC)",67000,13400,33500,53600,80400,"<= $13,400","$13,400 - $33,500","$33,500 - $53,600","$53,600 - $80,400",">= $80,401",1675,335,837.5,1340,"$2,010",<= $335,$335 - $838,"$838 - $1,340","$1,340 - $2,010",">= $2,011"
Brome-Missisquoi (2446) 00000 (  4.6%),"Brome-Missisquoi (CD, QC)",71500,14300,35750,57200,85800,"<= $14,300","$14,300 - $35,750","$35,750 - $57,200","$57,200 - $85,800",">= $85,801",1787.5,357.5,893.75,1430,"$2,145",<= $358,$358 - $894,"$894 - $1,430","$1,430 - $2,145",">= $2,146"
  Bromont V (2446078) 00000 (  5.4%),"Bromont V (CSD, QC)",99000,19800,49500,79200,118800,"<= $19,800","$19,800 - $49,500","$49,500 - $79,200","$79,200 - $118,800",">= $118,801",2475,495,1237.5,1980,"$2,970",<= $495,"$495 - $1,238","$1,238 - $1,980","$1,980 - $2,970",">= $2,971"
  Brooke-Alvinston MU (3538015) 00000 (  2.6%),"Brooke-Alvinston MU (CSD, ON)",71500,14300,35750,57200,85800,"<= $14,300","$14,300 - $35,750","$35,750 - $57,200","$57,200 - $85,800",">= $85,801",1787.5,357.5,893.75,1430,"$2,145",<= $358,$358 - $894,"$894 - $1,430","$1,430 - $2,145",">= $2,146"
  Brooks CY (4802034) 00000 (  4.6%),"Brooks CY (CSD, AL)",92000,18400,46000,73600,110400,"<= $18,400","$18,400 - $46,000","$46,000 - $73,600","$73,600 - $110,400",">= $110,401",2300,460,1150,1840,"$2,760",<= $460,"$460 - $1,150","$1,150 - $1,840","$1,840 - $2,760",">= $2,761"
  Brossard V (2458007) 00000 (  2.6%),"Brossard V (CSD, QC)",84000,16800,42000,67200,100800,"<= $16,800","$16,800 - $42,000","$42,000 - $67,200","$67,200 - $100,800",">= $100,801",2100,420,1050,1680,"$2,520",<= $420,"$420 - $1,050","$1,050 - $1,680","$1,680 - $2,520",">= $2,521"
  Browning No. 34 RM (4701031) 00000 (  7.5%),"Browning No. 34 RM (CSD, SK)",100000,20000,50000,80000,120000,"<= $20,000","$20,000 - $50,000","$50,000 - $80,000","$80,000 - $120,000",">= $120,001",2500,500,1250,2000,"$3,000",<= $500,"$500 - $1,250","$1,250 - $2,000","$2,000 - $3,000",">= $3,001"
  Brownlee VL (4707048) 00909 (  0.0%),"Brownlee VL (CSD, SK)",,,,,,,,,,,,,,,,,,,,
  Brownsburg-Chatham V (2476043) 00000 (  5.0%),"Brownsburg-Chatham V (CSD, QC)",68500,13700,34250,54800,82200,"<= $13,700","$13,700 - $34,250","$34,250 - $54,800","$54,800 - $82,200",">= $82,201",1712.5,342.5,856.25,1370,"$2,055",<= $343,$343 - $856,"$856 - $1,370","$1,370 - $2,055",">= $2,056"
Bruce (3541) 00000 (  5.2%),"Bruce (CD, ON)",87000,17400,43500,69600,104400,"<= $17,400","$17,400 - $43,500","$43,500 - $69,600","$69,600 - $104,400",">= $104,401",2175,435,1087.5,1740,"$2,610",<= $435,"$435 - $1,088","$1,088 - $1,740","$1,740 - $2,610",">= $2,611"
  Bruce Mines T (3557021) 00000 (  1.5%),"Bruce Mines T (CSD, ON)",67500,13500,33750,54000,81000,"<= $13,500","$13,500 - $33,750","$33,750 - $54,000","$54,000 - $81,000",">= $81,001",1687.5,337.5,843.75,1350,"$2,025",<= $338,$338 - $844,"$844 - $1,350","$1,350 - $2,025",">= $2,026"
"  Brudenell, Lyndoch and Raglan TP (3547020) 00000 (  5.1%)","Brudenell, Lyndoch and Raglan TP (CSD, ON)",56000,11200,28000,44800,67200,"<= $11,200","$11,200 - $28,000","$28,000 - $44,800","$44,800 - $67,200",">= $67,201",1400,280,700,1120,"$1,680",<= $280,$280 - $700,"$700 - $1,120","$1,120 - $1,680",">= $1,681"
  Bruderheim T (4810066) 00000 (  6.6%),"Bruderheim T (CSD, AL)",97000,19400,48500,77600,116400,"<= $19,400","$19,400 - $48,500","$48,500 - $77,600","$77,600 - $116,400",">= $116,401",2425,485,1212.5,1940,"$2,910",<= $485,"$485 - $1,213","$1,213 - $1,940","$1,940 - $2,910",">= $2,911"
  Bruno T (4715012) 00000 (  1.5%),"Bruno T (CSD, SK)",54400,10880,27200,43520,65280,"<= $10,880","$10,880 - $27,200","$27,200 - $43,520","$43,520 - $65,280",">= $65,281",1360,272,680,1088,"$1,632",<= $272,$272 - $680,"$680 - $1,088","$1,088 - $1,632",">= $1,633"
  Bryson MÃ‰ (2484025) 00000 (  2.9%),"Bryson MÉ (CSD, QC)",55200,11040,27600,44160,66240,"<= $11,040","$11,040 - $27,600","$27,600 - $44,160","$44,160 - $66,240",">= $66,241",1380,276,690,1104,"$1,656",<= $276,$276 - $690,"$690 - $1,104","$1,104 - $1,656",">= $1,657"
  B-Say-Tah RV (4706052) 02929 ( 28.0%),"B-Say-Tah RV (CSD, SK)",,,,,,,,,,,,,,,,,,,,
