Geography,Formatted Name,Median income of household ($),20% of AMHI,50% of AMHI,80% of AMHI,120% of AMHI,20% or under of AMHI,21% to 50% of AMHI,51% to 80% of AMHI,81% to 120% of AMHI,121% and more of AMHI,Rent AMHI,Rent 20% of AMHI,Rent 50% of AMHI,Rent 80% of AMHI,Rent 120% of AMHI,20% or under of AMHI,21% to 50% of AMHI,51% to 80% of AMHI,81% to 120% of AMHI,121% and more of AMHI
  Abbey VL (4708048) 01909 (  6.3%),"Abbey VL (CSD, SK)",,,,,,,,,,,,,,,,,,,,
  Air Ronge NV (4718042) 00010 ( 10.7%),"Air Ronge NV (CSD, SK)",105000,21000,52500,84000,126000,"<= $21,000","$21,000 - $52,500","$52,500 - $84,000","$84,000 - $126,000",">= $126,001",2625,525,1312.5,2100,"$3,150",<= $525,"$525 - $1,313","$1,313 - $2,100","$2,100 - $3,150",">= $3,151"
  Airdrie CY (4806021) 00000 (  1.8%),"Airdrie CY (CSD, AL)",110000,22000,55000,88000,132000,"<= $22,000","$22,000 - $55,000","$55,000 - $88,000","$88,000 - $132,000",">= $132,001",2750,550,1375,2200,"$3,300",<= $550,"$550 - $1,375","$1,375 - $2,200","$2,200 - $3,300",">= $3,301"
  Ajax T (3518005) 00000 (  1.9%),"Ajax T (CSD, ON)",119000,23800,59500,95200,142800,"<= $23,800","$23,800 - $59,500","$59,500 - $95,200","$95,200 - $142,800",">= $142,801",2975,595,1487.5,2380,"$3,570",<= $595,"$595 - $1,488","$1,488 - $2,380","$2,380 - $3,570",">= $3,571"
  Akulivik TI (2499883) 09999 (  0.0%),"Akulivik TI (CSD, QC)",,,,,,,,,,,,,,,,,,,,
  Akulivik VN (2499125) 02020 ( 23.8%),"Akulivik VN (CSD, QC)",76500,15300,38250,61200,91800,"<= $15,300","$15,300 - $38,250","$38,250 - $61,200","$61,200 - $91,800",">= $91,801",1912.5,382.5,956.25,1530,"$2,295",<= $383,$383 - $956,"$956 - $1,530","$1,530 - $2,295",">= $2,296"
  Alameda T (4701037) 00000 (  2.6%),"Alameda T (CSD, SK)",94000,18800,47000,75200,112800,"<= $18,800","$18,800 - $47,000","$47,000 - $75,200","$75,200 - $112,800",">= $112,801",2350,470,1175,1880,"$2,820",<= $470,"$470 - $1,175","$1,175 - $1,880","$1,880 - $2,820",">= $2,821"
  Albanel MÃ‰ (2492030) 00000 (  2.2%),"Albanel MÉ (CSD, QC)",76000,15200,38000,60800,91200,"<= $15,200","$15,200 - $38,000","$38,000 - $60,800","$60,800 - $91,200",">= $91,201",1900,380,950,1520,"$2,280",<= $380,$380 - $950,"$950 - $1,520","$1,520 - $2,280",">= $2,281"
Alberni-Clayoquot (5923) 00000 (  5.6%),"Alberni-Clayoquot (CD, BC)",69000,13800,34500,55200,82800,"<= $13,800","$13,800 - $34,500","$34,500 - $55,200","$55,200 - $82,800",">= $82,801",1725,345,862.5,1380,"$2,070",<= $345,$345 - $863,"$863 - $1,380","$1,380 - $2,070",">= $2,071"
  Alberni-Clayoquot A RDA (5923047) 01929 ( 21.0%),"Alberni-Clayoquot A RDA (CSD, BC)",,,,,,,,,,,,,,,,,,,,
  Alberni-Clayoquot B RDA (5923033) 00000 (  1.8%),"Alberni-Clayoquot B RDA (CSD, BC)",76500,15300,38250,61200,91800,"<= $15,300","$15,300 - $38,250","$38,250 - $61,200","$61,200 - $91,800",">= $91,801",1912.5,382.5,956.25,1530,"$2,295",<= $383,$383 - $956,"$956 - $1,530","$1,530 - $2,295",">= $2,296"
  Alberni-Clayoquot C RDA (5923049) 02020 ( 28.5%),"Alberni-Clayoquot C RDA (CSD, BC)",80000,16000,40000,64000,96000,"<= $16,000","$16,000 - $40,000","$40,000 - $64,000","$64,000 - $96,000",">= $96,001",2000,400,1000,1600,"$2,400",<= $400,"$400 - $1,000","$1,000 - $1,600","$1,600 - $2,400",">= $2,401"
  Alberni-Clayoquot D RDA (5923035) 00000 (  8.4%),"Alberni-Clayoquot D RDA (CSD, BC)",83000,16600,41500,66400,99600,"<= $16,600","$16,600 - $41,500","$41,500 - $66,400","$66,400 - $99,600",">= $99,601",2075,415,1037.5,1660,"$2,490",<= $415,"$415 - $1,038","$1,038 - $1,660","$1,660 - $2,490",">= $2,491"
  Alberni-Clayoquot E RDA (5923037) 00000 (  3.2%),"Alberni-Clayoquot E RDA (CSD, BC)",80000,16000,40000,64000,96000,"<= $16,000","$16,000 - $40,000","$40,000 - $64,000","$64,000 - $96,000",">= $96,001",2000,400,1000,1600,"$2,400",<= $400,"$400 - $1,000","$1,000 - $1,600","$1,600 - $2,400",">= $2,401"
  Alberni-Clayoquot F RDA (5923039) 00000 (  4.2%),"Alberni-Clayoquot F RDA (CSD, BC)",74500,14900,37250,59600,89400,"<= $14,900","$14,900 - $37,250","$37,250 - $59,600","$59,600 - $89,400",">= $89,401",1862.5,372.5,931.25,1490,"$2,235",<= $373,$373 - $931,"$931 - $1,490","$1,490 - $2,235",">= $2,236"
Albert (1306) 00000 (  3.2%),"Albert (CD, NB)",78000,15600,39000,62400,93600,"<= $15,600","$15,600 - $39,000","$39,000 - $62,400","$62,400 - $93,600",">= $93,601",1950,390,975,1560,"$2,340",<= $390,$390 - $975,"$975 - $1,560","$1,560 - $2,340",">= $2,341"
Alberta (48) 00000 (  5.4%),Alberta (Province),96000,19200,48000,76800,115200,"<= $19,200","$19,200 - $48,000","$48,000 - $76,800","$76,800 - $115,200",">= $115,201",2400,480,1200,1920,"$2,880",<= $480,"$480 - $1,200","$1,200 - $1,920","$1,920 - $2,880",">= $2,881"
  Alberta Beach VL (4813012) 01010 ( 15.2%),"Alberta Beach VL (CSD, AL)",90000,18000,45000,72000,108000,"<= $18,000","$18,000 - $45,000","$45,000 - $72,000","$72,000 - $108,000",">= $108,001",2250,450,1125,1800,"$2,700",<= $450,"$450 - $1,125","$1,125 - $1,800","$1,800 - $2,700",">= $2,701"
  Alberton TP (3559011) 00000 (  3.1%),"Alberton TP (CSD, ON)",99000,19800,49500,79200,118800,"<= $19,800","$19,800 - $49,500","$49,500 - $79,200","$79,200 - $118,800",">= $118,801",2475,495,1237.5,1980,"$2,970",<= $495,"$495 - $1,238","$1,238 - $1,980","$1,980 - $2,970",">= $2,971"
  Albertville MÃ‰ (2407025) 00929 ( 24.2%),"Albertville MÉ (CSD, QC)",,,,,,,,,,,,,,,,,,,,
  Albertville VL (4715085) 00909 (  0.0%),"Albertville VL (CSD, SK)",,,,,,,,,,,,,,,,,,,,
  Alert Bay VL (5943008) 01020 ( 28.3%),"Alert Bay VL (CSD, BC)",55600,11120,27800,44480,66720,"<= $11,120","$11,120 - $27,800","$27,800 - $44,480","$44,480 - $66,720",">= $66,721",1390,278,695,1112,"$1,668",<= $278,$278 - $695,"$695 - $1,112","$1,112 - $1,668",">= $1,669"
  Alexander RM (4601071) 01010 ( 13.6%),"Alexander RM (CSD, MB)",71000,14200,35500,56800,85200,"<= $14,200","$14,200 - $35,500","$35,500 - $56,800","$56,800 - $85,200",">= $85,201",1775,355,887.5,1420,"$2,130",<= $355,$355 - $888,"$888 - $1,420","$1,420 - $2,130",">= $2,131"
  Alfred and Plantagenet TP (3502023) 00000 (  3.2%),"Alfred and Plantagenet TP (CSD, ON)",85000,17000,42500,68000,102000,"<= $17,000","$17,000 - $42,500","$42,500 - $68,000","$68,000 - $102,000",">= $102,001",2125,425,1062.5,1700,"$2,550",<= $425,"$425 - $1,063","$1,063 - $1,700","$1,700 - $2,550",">= $2,551"
