Geography,Formatted Name,Median income of household ($),20% of AMHI,50% of AMHI,80% of AMHI,120% of AMHI,20% or under of AMHI,21% to 50% of AMHI,51% to 80% of AMHI,81% to 120% of AMHI,121% and more of AMHI,Rent AMHI,Rent 20% of AMHI,Rent 50% of AMHI,Rent 80% of AMHI,Rent 120% of AMHI,20% or under of AMHI,21% to 50% of AMHI,51% to 80% of AMHI,81% to 120% of AMHI,121% and more of AMHI
Rosedale No. 283 RM (4711031) 00000 ( 7.6%),"Rosedale No. 283 RM (CSD, SK)",110000,22000,55000,88000,132000,"<= $22,000","$22,001 - $55,000","$55,001 - $88,000","$88,001 - $132,000",">= $132,001",2750,550,1375,2200,3300,<= $550,"$551 - $1,375","$1,376 - $2,200","$2,201 - $3,300",">= $3,301"
Hanley T (4711032) 00000 ( 5.9%),"Hanley T (CSD, SK)",61600,12320,30800,49280,73920,"<= $12,320","$12,321 - $30,800","$30,801 - $49,280","$49,281 - $73,920",">= $73,921",1540,308,770,1232,1848,<= $308,$309 - $770,"$771 - $1,232","$1,233 - $1,848",">= $1,849"
McCraney No. 282 RM (4711034) 00000 ( 4.1%),"McCraney No. 282 RM (CSD, SK)",58000,11600,29000,46400,69600,"<= $11,600","$11,601 - $29,000","$29,001 - $46,400","$46,401 - $69,600",">= $69,601",1450,290,725,1160,1740,<= $290,$291 - $725,"$726 - $1,160","$1,161 - $1,740",">= $1,741"
Kenaston VL (4711036) 00000 ( 1.6%),"Kenaston VL (CSD, SK)",61600,12320,30800,49280,73920,"<= $12,320","$12,321 - $30,800","$30,801 - $49,280","$49,281 - $73,920",">= $73,921",1540,308,770,1232,1848,<= $308,$309 - $770,"$771 - $1,232","$1,233 - $1,848",">= $1,849"
Nokomis T (4711044) 00100 ( 8.8%),"Nokomis T (CSD, SK)",54400,10880,27200,43520,65280,"<= $10,880","$10,881 - $27,200","$27,201 - $43,520","$43,521 - $65,280",">= $65,281",1360,272,680,1088,1632,<= $272,$273 - $680,"$681 - $1,088","$1,089 - $1,632",">= $1,633"
Usborne No. 310 RM (4711046) 00000 ( 9.4%),"Usborne No. 310 RM (CSD, SK)",76000,15200,38000,60800,91200,"<= $15,200","$15,201 - $38,000","$38,001 - $60,800","$60,801 - $91,200",">= $91,201",1900,380,950,1520,2280,<= $380,$381 - $950,"$951 - $1,520","$1,521 - $2,280",">= $2,281"
Lanigan T (4711049) 00100 ( 7.0%),"Lanigan T (CSD, SK)",80000,16000,40000,64000,96000,"<= $16,000","$16,001 - $40,000","$40,001 - $64,000","$64,001 - $96,000",">= $96,001",2000,400,1000,1600,2400,<= $400,"$401 - $1,000","$1,001 - $1,600","$1,601 - $2,400",">= $2,401"
Morris No. 312 RM (4711052) 00000 ( 0.0%),"Morris No. 312 RM (CSD, SK)",53200,10640,26600,42560,63840,"<= $10,640","$10,641 - $26,600","$26,601 - $42,560","$42,561 - $63,840",">= $63,841",1330,266,665,1064,1596,<= $266,$267 - $665,"$666 - $1,064","$1,065 - $1,596",">= $1,597"
Watrous T (4711053) 00000 ( 6.0%),"Watrous T (CSD, SK)",65000,13000,32500,52000,78000,"<= $13,000","$13,001 - $32,500","$32,501 - $52,000","$52,001 - $78,000",">= $78,001",1625,325,813,1300,1950,<= $325,$326 - $813,"$814 - $1,300","$1,301 - $1,950",">= $1,951"
Manitou Beach RV (4711054) 00100 ( 2.7%),"Manitou Beach RV (CSD, SK)",60000,12000,30000,48000,72000,"<= $12,000","$12,001 - $30,000","$30,001 - $48,000","$48,001 - $72,000",">= $72,001",1500,300,750,1200,1800,<= $300,$301 - $750,"$751 - $1,200","$1,201 - $1,800",">= $1,801"
