Geography,Formatted Name,Median income of household ($),20% of AMHI,50% of AMHI,80% of AMHI,120% of AMHI,20% or under of AMHI,21% to 50% of AMHI,51% to 80% of AMHI,81% to 120% of AMHI,121% and more of AMHI,Rent AMHI,Rent 20% of AMHI,Rent 50% of AMHI,Rent 80% of AMHI,Rent 120% of AMHI,20% or under of AMHI,21% to 50% of AMHI,51% to 80% of AMHI,81% to 120% of AMHI,121% and more of AMHI
Halifax (1209) 00000 ( 4.7%),"Halifax (CD, NS)",69500,13900,34750,55600,83400,"<= $13,900","$13,901 - $34,750","$34,751 - $55,600","$55,601 - $83,400",">= $83,401",1738,348,869,1390,2085,<= $348,$349 - $869,"$870 - $1,390","$1,391 - $2,085",">= $2,086"
Colchester (1210) 00000 ( 5.8%),"Colchester (CD, NS)",55600,11120,27800,44480,66720,"<= $11,120","$11,121 - $27,800","$27,801 - $44,480","$44,481 - $66,720",">= $66,721",1390,278,695,1112,1668,<= $278,$279 - $695,"$696 - $1,112","$1,113 - $1,668",">= $1,669"
Cumberland (1211) 00000 ( 6.6%),"Cumberland (CD, NS)",49600,9920,24800,39680,59520,"<= $9,920","$9,921 - $24,800","$24,801 - $39,680","$39,681 - $59,520",">= $59,521",1240,248,620,992,1488,<= $248,$249 - $620,$621 - $992,"$993 - $1,488",">= $1,489"
Pictou (1212) 00000 ( 6.3%),"Pictou (CD, NS)",56400,11280,28200,45120,67680,"<= $11,280","$11,281 - $28,200","$28,201 - $45,120","$45,121 - $67,680",">= $67,681",1410,282,705,1128,1692,<= $282,$283 - $705,"$706 - $1,128","$1,129 - $1,692",">= $1,693"
Guysborough (1213) 00000 ( 8.6%),"Guysborough (CD, NS)",50000,10000,25000,40000,60000,"<= $10,000","$10,001 - $25,000","$25,001 - $40,000","$40,001 - $60,000",">= $60,001",1250,250,625,1000,1500,<= $250,$251 - $625,"$626 - $1,000","$1,001 - $1,500",">= $1,501"
Antigonish (1214) 00000 ( 4.9%),"Antigonish (CD, NS)",65000,13000,32500,52000,78000,"<= $13,000","$13,001 - $32,500","$32,501 - $52,000","$52,001 - $78,000",">= $78,001",1625,325,813,1300,1950,<= $325,$326 - $813,"$814 - $1,300","$1,301 - $1,950",">= $1,951"
Inverness (1215) 00000 ( 6.1%),"Inverness (CD, NS)",59600,11920,29800,47680,71520,"<= $11,920","$11,921 - $29,800","$29,801 - $47,680","$47,681 - $71,520",">= $71,521",1490,298,745,1192,1788,<= $298,$299 - $745,"$746 - $1,192","$1,193 - $1,788",">= $1,789"
Richmond (1216) 00000 ( 9.2%),"Richmond (CD, NS)",54400,10880,27200,43520,65280,"<= $10,880","$10,881 - $27,200","$27,201 - $43,520","$43,521 - $65,280",">= $65,281",1360,272,680,1088,1632,<= $272,$273 - $680,"$681 - $1,088","$1,089 - $1,632",">= $1,633"
Cape Breton (1217) 00000 ( 5.8%),"Cape Breton (CD, NS)",54000,10800,27000,43200,64800,"<= $10,800","$10,801 - $27,000","$27,001 - $43,200","$43,201 - $64,800",">= $64,801",1350,270,675,1080,1620,<= $270,$271 - $675,"$676 - $1,080","$1,081 - $1,620",">= $1,621"
Victoria (1218) 00000 ( 7.6%),"Victoria (CD, NS)",58800,11760,29400,47040,70560,"<= $11,760","$11,761 - $29,400","$29,401 - $47,040","$47,041 - $70,560",">= $70,561",1470,294,735,1176,1764,<= $294,$295 - $735,"$736 - $1,176","$1,177 - $1,764",">= $1,765"
Saint John (1301) 00000 ( 5.8%),"Saint John (CD, NB)",53600,10720,26800,42880,64320,"<= $10,720","$10,721 - $26,800","$26,801 - $42,880","$42,881 - $64,320",">= $64,321",1340,268,670,1072,1608,<= $268,$269 - $670,"$671 - $1,072","$1,073 - $1,608",">= $1,609"
Charlotte (1302) 00000 ( 5.3%),"Charlotte (CD, NB)",55200,11040,27600,44160,66240,"<= $11,040","$11,041 - $27,600","$27,601 - $44,160","$44,161 - $66,240",">= $66,241",1380,276,690,1104,1656,<= $276,$277 - $690,"$691 - $1,104","$1,105 - $1,656",">= $1,657"
Sunbury (1303) 00000 ( 4.3%),"Sunbury (CD, NB)",72000,14400,36000,57600,86400,"<= $14,400","$14,401 - $36,000","$36,001 - $57,600","$57,601 - $86,400",">= $86,401",1800,360,900,1440,2160,<= $360,$361 - $900,"$901 - $1,440","$1,441 - $2,160",">= $2,161"
Queens (1304) 00000 ( 5.8%),"Queens (CD, NB)",48800,9760,24400,39040,58560,"<= $9,760","$9,761 - $24,400","$24,401 - $39,040","$39,041 - $58,560",">= $58,561",1220,244,610,976,1464,<= $244,$245 - $610,$611 - $976,"$977 - $1,464",">= $1,465"
Kings (1305) 00000 ( 3.9%),"Kings (CD, NB)",76500,15300,38250,61200,91800,"<= $15,300","$15,301 - $38,250","$38,251 - $61,200","$61,201 - $91,800",">= $91,801",1913,383,956,1530,2295,<= $383,$384 - $956,"$957 - $1,530","$1,531 - $2,295",">= $2,296"
Albert (1306) 00000 ( 3.1%),"Albert (CD, NB)",66000,13200,33000,52800,79200,"<= $13,200","$13,201 - $33,000","$33,001 - $52,800","$52,801 - $79,200",">= $79,201",1650,330,825,1320,1980,<= $330,$331 - $825,"$826 - $1,320","$1,321 - $1,980",">= $1,981"
Westmorland (1307) 00000 ( 4.8%),"Westmorland (CD, NB)",62000,12400,31000,49600,74400,"<= $12,400","$12,401 - $31,000","$31,001 - $49,600","$49,601 - $74,400",">= $74,401",1550,310,775,1240,1860,<= $310,$311 - $775,"$776 - $1,240","$1,241 - $1,860",">= $1,861"
Kent (1308) 00000 ( 6.0%),"Kent (CD, NB)",56000,11200,28000,44800,67200,"<= $11,200","$11,201 - $28,000","$28,001 - $44,800","$44,801 - $67,200",">= $67,201",1400,280,700,1120,1680,<= $280,$281 - $700,"$701 - $1,120","$1,121 - $1,680",">= $1,681"
Northumberland (1309) 00000 ( 4.1%),"Northumberland (CD, NB)",56400,11280,28200,45120,67680,"<= $11,280","$11,281 - $28,200","$28,201 - $45,120","$45,121 - $67,680",">= $67,681",1410,282,705,1128,1692,<= $282,$283 - $705,"$706 - $1,128","$1,129 - $1,692",">= $1,693"
York (1310) 00000 ( 4.1%),"York (CD, NB)",66500,13300,33250,53200,79800,"<= $13,300","$13,301 - $33,250","$33,251 - $53,200","$53,201 - $79,800",">= $79,801",1663,333,831,1330,1995,<= $333,$334 - $831,"$832 - $1,330","$1,331 - $1,995",">= $1,996"
Carleton (1311) 00000 ( 4.5%),"Carleton (CD, NB)",55600,11120,27800,44480,66720,"<= $11,120","$11,121 - $27,800","$27,801 - $44,480","$44,481 - $66,720",">= $66,721",1390,278,695,1112,1668,<= $278,$279 - $695,"$696 - $1,112","$1,113 - $1,668",">= $1,669"
Victoria (1312) 00000 ( 6.3%),"Victoria (CD, NB)",50000,10000,25000,40000,60000,"<= $10,000","$10,001 - $25,000","$25,001 - $40,000","$40,001 - $60,000",">= $60,001",1250,250,625,1000,1500,<= $250,$251 - $625,"$626 - $1,000","$1,001 - $1,500",">= $1,501"
Madawaska (1313) 00000 ( 4.7%),"Madawaska (CD, NB)",53200,10640,26600,42560,63840,"<= $10,640","$10,641 - $26,600","$26,601 - $42,560","$42,561 - $63,840",">= $63,841",1330,266,665,1064,1596,<= $266,$267 - $665,"$666 - $1,064","$1,065 - $1,596",">= $1,597"
Restigouche (1314) 00000 ( 6.3%),"Restigouche (CD, NB)",50000,10000,25000,40000,60000,"<= $10,000","$10,001 - $25,000","$25,001 - $40,000","$40,001 - $60,000",">= $60,001",1250,250,625,1000,1500,<= $250,$251 - $625,"$626 - $1,000","$1,001 - $1,500",">= $1,501"
Gloucester (1315) 00000 ( 6.3%),"Gloucester (CD, NB)",52800,10560,26400,42240,63360,"<= $10,560","$10,561 - $26,400","$26,401 - $42,240","$42,241 - $63,360",">= $63,361",1320,264,660,1056,1584,<= $264,$265 - $660,"$661 - $1,056","$1,057 - $1,584",">= $1,585"
Les Îles-de-la-Madeleine (2401) 00000 ( 4.5%),"Les Îles-de-la-Madeleine (CD, QC)",61200,12240,30600,48960,73440,"<= $12,240","$12,241 - $30,600","$30,601 - $48,960","$48,961 - $73,440",">= $73,441",1530,306,765,1224,1836,<= $306,$307 - $765,"$766 - $1,224","$1,225 - $1,836",">= $1,837"
Le Rocher-Percé (2402) 00000 ( 6.4%),"Le Rocher-Percé (CD, QC)",48400,9680,24200,38720,58080,"<= $9,680","$9,681 - $24,200","$24,201 - $38,720","$38,721 - $58,080",">= $58,081",1210,242,605,968,1452,<= $242,$243 - $605,$606 - $968,"$969 - $1,452",">= $1,453"
La Côte-de-Gaspé (2403) 00000 ( 4.3%),"La Côte-de-Gaspé (CD, QC)",57600,11520,28800,46080,69120,"<= $11,520","$11,521 - $28,800","$28,801 - $46,080","$46,081 - $69,120",">= $69,121",1440,288,720,1152,1728,<= $288,$289 - $720,"$721 - $1,152","$1,153 - $1,728",">= $1,729"
La Haute-Gaspésie (2404) 00000 ( 5.2%),"La Haute-Gaspésie (CD, QC)",44800,8960,22400,35840,53760,"<= $8,960","$8,961 - $22,400","$22,401 - $35,840","$35,841 - $53,760",">= $53,761",1120,224,560,896,1344,<= $224,$225 - $560,$561 - $896,"$897 - $1,344",">= $1,345"
Bonaventure (2405) 00000 ( 5.9%),"Bonaventure (CD, QC)",53600,10720,26800,42880,64320,"<= $10,720","$10,721 - $26,800","$26,801 - $42,880","$42,881 - $64,320",">= $64,321",1340,268,670,1072,1608,<= $268,$269 - $670,"$671 - $1,072","$1,073 - $1,608",">= $1,609"
Avignon (2406) 00000 ( 7.8%),"Avignon (CD, QC)",50400,10080,25200,40320,60480,"<= $10,080","$10,081 - $25,200","$25,201 - $40,320","$40,321 - $60,480",">= $60,481",1260,252,630,1008,1512,<= $252,$253 - $630,"$631 - $1,008","$1,009 - $1,512",">= $1,513"
La Matapédia (2407) 00000 ( 7.2%),"La Matapédia (CD, QC)",47200,9440,23600,37760,56640,"<= $9,440","$9,441 - $23,600","$23,601 - $37,760","$37,761 - $56,640",">= $56,641",1180,236,590,944,1416,<= $236,$237 - $590,$591 - $944,"$945 - $1,416",">= $1,417"
Matane (2408) 00000 ( 5.5%),"Matane (CD, QC)",48000,9600,24000,38400,57600,"<= $9,600","$9,601 - $24,000","$24,001 - $38,400","$38,401 - $57,600",">= $57,601",1200,240,600,960,1440,<= $240,$241 - $600,$601 - $960,"$961 - $1,440",">= $1,441"
La Mitis (2409) 00000 ( 6.2%),"La Mitis (CD, QC)",48800,9760,24400,39040,58560,"<= $9,760","$9,761 - $24,400","$24,401 - $39,040","$39,041 - $58,560",">= $58,561",1220,244,610,976,1464,<= $244,$245 - $610,$611 - $976,"$977 - $1,464",">= $1,465"
Rimouski-Neigette (2410) 00000 ( 3.7%),"Rimouski-Neigette (CD, QC)",56800,11360,28400,45440,68160,"<= $11,360","$11,361 - $28,400","$28,401 - $45,440","$45,441 - $68,160",">= $68,161",1420,284,710,1136,1704,<= $284,$285 - $710,"$711 - $1,136","$1,137 - $1,704",">= $1,705"
Les Basques (2411) 00000 ( 4.0%),"Les Basques (CD, QC)",44400,8880,22200,35520,53280,"<= $8,880","$8,881 - $22,200","$22,201 - $35,520","$35,521 - $53,280",">= $53,281",1110,222,555,888,1332,<= $222,$223 - $555,$556 - $888,"$889 - $1,332",">= $1,333"
Rivière-du-Loup (2412) 00000 ( 5.3%),"Rivière-du-Loup (CD, QC)",56000,11200,28000,44800,67200,"<= $11,200","$11,201 - $28,000","$28,001 - $44,800","$44,801 - $67,200",">= $67,201",1400,280,700,1120,1680,<= $280,$281 - $700,"$701 - $1,120","$1,121 - $1,680",">= $1,681"
Témiscouata (2413) 00000 ( 5.3%),"Témiscouata (CD, QC)",49200,9840,24600,39360,59040,"<= $9,840","$9,841 - $24,600","$24,601 - $39,360","$39,361 - $59,040",">= $59,041",1230,246,615,984,1476,<= $246,$247 - $615,$616 - $984,"$985 - $1,476",">= $1,477"
Kamouraska (2414) 00000 ( 5.0%),"Kamouraska (CD, QC)",54800,10960,27400,43840,65760,"<= $10,960","$10,961 - $27,400","$27,401 - $43,840","$43,841 - $65,760",">= $65,761",1370,274,685,1096,1644,<= $274,$275 - $685,"$686 - $1,096","$1,097 - $1,644",">= $1,645"
Charlevoix-Est (2415) 00000 ( 4.5%),"Charlevoix-Est (CD, QC)",55600,11120,27800,44480,66720,"<= $11,120","$11,121 - $27,800","$27,801 - $44,480","$44,481 - $66,720",">= $66,721",1390,278,695,1112,1668,<= $278,$279 - $695,"$696 - $1,112","$1,113 - $1,668",">= $1,669"
Charlevoix (2416) 00000 ( 5.5%),"Charlevoix (CD, QC)",56800,11360,28400,45440,68160,"<= $11,360","$11,361 - $28,400","$28,401 - $45,440","$45,441 - $68,160",">= $68,161",1420,284,710,1136,1704,<= $284,$285 - $710,"$711 - $1,136","$1,137 - $1,704",">= $1,705"
L'Islet (2417) 00000 ( 3.4%),"L'Islet (CD, QC)",51600,10320,25800,41280,61920,"<= $10,320","$10,321 - $25,800","$25,801 - $41,280","$41,281 - $61,920",">= $61,921",1290,258,645,1032,1548,<= $258,$259 - $645,"$646 - $1,032","$1,033 - $1,548",">= $1,549"
Montmagny (2418) 00000 ( 3.9%),"Montmagny (CD, QC)",49600,9920,24800,39680,59520,"<= $9,920","$9,921 - $24,800","$24,801 - $39,680","$39,681 - $59,520",">= $59,521",1240,248,620,992,1488,<= $248,$249 - $620,$621 - $992,"$993 - $1,488",">= $1,489"
Bellechasse (2419) 00000 ( 4.1%),"Bellechasse (CD, QC)",61600,12320,30800,49280,73920,"<= $12,320","$12,321 - $30,800","$30,801 - $49,280","$49,281 - $73,920",">= $73,921",1540,308,770,1232,1848,<= $308,$309 - $770,"$771 - $1,232","$1,233 - $1,848",">= $1,849"
L'Île-d'Orléans (2420) 00000 ( 4.7%),"L'Île-d'Orléans (CD, QC)",77500,15500,38750,62000,93000,"<= $15,500","$15,501 - $38,750","$38,751 - $62,000","$62,001 - $93,000",">= $93,001",1938,388,969,1550,2325,<= $388,$389 - $969,"$970 - $1,550","$1,551 - $2,325",">= $2,326"
La Côte-de-Beaupré (2421) 00000 ( 5.4%),"La Côte-de-Beaupré (CD, QC)",71500,14300,35750,57200,85800,"<= $14,300","$14,301 - $35,750","$35,751 - $57,200","$57,201 - $85,800",">= $85,801",1788,358,894,1430,2145,<= $358,$359 - $894,"$895 - $1,430","$1,431 - $2,145",">= $2,146"
La Jacques-Cartier (2422) 00000 ( 3.0%),"La Jacques-Cartier (CD, QC)",91000,18200,45500,72800,109200,"<= $18,200","$18,201 - $45,500","$45,501 - $72,800","$72,801 - $109,200",">= $109,201",2275,455,1138,1820,2730,<= $455,"$456 - $1,138","$1,139 - $1,820","$1,821 - $2,730",">= $2,731"
Québec (2423) 00000 ( 4.4%),"Québec (CD, QC)",61200,12240,30600,48960,73440,"<= $12,240","$12,241 - $30,600","$30,601 - $48,960","$48,961 - $73,440",">= $73,441",1530,306,765,1224,1836,<= $306,$307 - $765,"$766 - $1,224","$1,225 - $1,836",">= $1,837"
Lévis (2425) 00000 ( 4.1%),"Lévis (CD, QC)",74000,14800,37000,59200,88800,"<= $14,800","$14,801 - $37,000","$37,001 - $59,200","$59,201 - $88,800",">= $88,801",1850,370,925,1480,2220,<= $370,$371 - $925,"$926 - $1,480","$1,481 - $2,220",">= $2,221"
La Nouvelle-Beauce (2426) 00000 ( 4.2%),"La Nouvelle-Beauce (CD, QC)",68500,13700,34250,54800,82200,"<= $13,700","$13,701 - $34,250","$34,251 - $54,800","$54,801 - $82,200",">= $82,201",1713,343,856,1370,2055,<= $343,$344 - $856,"$857 - $1,370","$1,371 - $2,055",">= $2,056"
Robert-Cliche (2427) 00000 ( 4.5%),"Robert-Cliche (CD, QC)",56800,11360,28400,45440,68160,"<= $11,360","$11,361 - $28,400","$28,401 - $45,440","$45,441 - $68,160",">= $68,161",1420,284,710,1136,1704,<= $284,$285 - $710,"$711 - $1,136","$1,137 - $1,704",">= $1,705"
Les Etchemins (2428) 00000 ( 4.2%),"Les Etchemins (CD, QC)",50400,10080,25200,40320,60480,"<= $10,080","$10,081 - $25,200","$25,201 - $40,320","$40,321 - $60,480",">= $60,481",1260,252,630,1008,1512,<= $252,$253 - $630,"$631 - $1,008","$1,009 - $1,512",">= $1,513"
Beauce-Sartigan (2429) 00000 ( 5.6%),"Beauce-Sartigan (CD, QC)",55600,11120,27800,44480,66720,"<= $11,120","$11,121 - $27,800","$27,801 - $44,480","$44,481 - $66,720",">= $66,721",1390,278,695,1112,1668,<= $278,$279 - $695,"$696 - $1,112","$1,113 - $1,668",">= $1,669"
Le Granit (2430) 00000 ( 5.5%),"Le Granit (CD, QC)",52000,10400,26000,41600,62400,"<= $10,400","$10,401 - $26,000","$26,001 - $41,600","$41,601 - $62,400",">= $62,401",1300,260,650,1040,1560,<= $260,$261 - $650,"$651 - $1,040","$1,041 - $1,560",">= $1,561"
Les Appalaches (2431) 00000 ( 5.3%),"Les Appalaches (CD, QC)",48800,9760,24400,39040,58560,"<= $9,760","$9,761 - $24,400","$24,401 - $39,040","$39,041 - $58,560",">= $58,561",1220,244,610,976,1464,<= $244,$245 - $610,$611 - $976,"$977 - $1,464",">= $1,465"
L'Érable (2432) 00000 ( 5.0%),"L'Érable (CD, QC)",50400,10080,25200,40320,60480,"<= $10,080","$10,081 - $25,200","$25,201 - $40,320","$40,321 - $60,480",">= $60,481",1260,252,630,1008,1512,<= $252,$253 - $630,"$631 - $1,008","$1,009 - $1,512",">= $1,513"
Lotbinière (2433) 00000 ( 2.5%),"Lotbinière (CD, QC)",60800,12160,30400,48640,72960,"<= $12,160","$12,161 - $30,400","$30,401 - $48,640","$48,641 - $72,960",">= $72,961",1520,304,760,1216,1824,<= $304,$305 - $760,"$761 - $1,216","$1,217 - $1,824",">= $1,825"
Portneuf (2434) 00000 ( 3.2%),"Portneuf (CD, QC)",60800,12160,30400,48640,72960,"<= $12,160","$12,161 - $30,400","$30,401 - $48,640","$48,641 - $72,960",">= $72,961",1520,304,760,1216,1824,<= $304,$305 - $760,"$761 - $1,216","$1,217 - $1,824",">= $1,825"
Mékinac (2435) 00000 ( 4.4%),"Mékinac (CD, QC)",45200,9040,22600,36160,54240,"<= $9,040","$9,041 - $22,600","$22,601 - $36,160","$36,161 - $54,240",">= $54,241",1130,226,565,904,1356,<= $226,$227 - $565,$566 - $904,"$905 - $1,356",">= $1,357"
Shawinigan (2436) 00000 ( 5.4%),"Shawinigan (CD, QC)",44400,8880,22200,35520,53280,"<= $8,880","$8,881 - $22,200","$22,201 - $35,520","$35,521 - $53,280",">= $53,281",1110,222,555,888,1332,<= $222,$223 - $555,$556 - $888,"$889 - $1,332",">= $1,333"
Francheville (2437) 00000 ( 4.0%),"Francheville (CD, QC)",51200,10240,25600,40960,61440,"<= $10,240","$10,241 - $25,600","$25,601 - $40,960","$40,961 - $61,440",">= $61,441",1280,256,640,1024,1536,<= $256,$257 - $640,"$641 - $1,024","$1,025 - $1,536",">= $1,537"
Bécancour (2438) 00000 ( 4.2%),"Bécancour (CD, QC)",54400,10880,27200,43520,65280,"<= $10,880","$10,881 - $27,200","$27,201 - $43,520","$43,521 - $65,280",">= $65,281",1360,272,680,1088,1632,<= $272,$273 - $680,"$681 - $1,088","$1,089 - $1,632",">= $1,633"
Arthabaska (2439) 00000 ( 4.1%),"Arthabaska (CD, QC)",53600,10720,26800,42880,64320,"<= $10,720","$10,721 - $26,800","$26,801 - $42,880","$42,881 - $64,320",">= $64,321",1340,268,670,1072,1608,<= $268,$269 - $670,"$671 - $1,072","$1,073 - $1,608",">= $1,609"
Les Sources (2440) 00000 ( 6.0%),"Les Sources (CD, QC)",44800,8960,22400,35840,53760,"<= $8,960","$8,961 - $22,400","$22,401 - $35,840","$35,841 - $53,760",">= $53,761",1120,224,560,896,1344,<= $224,$225 - $560,$561 - $896,"$897 - $1,344",">= $1,345"
Le Haut-Saint-François (2441) 00000 ( 5.4%),"Le Haut-Saint-François (CD, QC)",52000,10400,26000,41600,62400,"<= $10,400","$10,401 - $26,000","$26,001 - $41,600","$41,601 - $62,400",">= $62,401",1300,260,650,1040,1560,<= $260,$261 - $650,"$651 - $1,040","$1,041 - $1,560",">= $1,561"
Le Val-Saint-François (2442) 00000 ( 5.1%),"Le Val-Saint-François (CD, QC)",60800,12160,30400,48640,72960,"<= $12,160","$12,161 - $30,400","$30,401 - $48,640","$48,641 - $72,960",">= $72,961",1520,304,760,1216,1824,<= $304,$305 - $760,"$761 - $1,216","$1,217 - $1,824",">= $1,825"
Sherbrooke (2443) 00000 ( 4.0%),"Sherbrooke (CD, QC)",51600,10320,25800,41280,61920,"<= $10,320","$10,321 - $25,800","$25,801 - $41,280","$41,281 - $61,920",">= $61,921",1290,258,645,1032,1548,<= $258,$259 - $645,"$646 - $1,032","$1,033 - $1,548",">= $1,549"
Coaticook (2444) 00000 ( 4.0%),"Coaticook (CD, QC)",53200,10640,26600,42560,63840,"<= $10,640","$10,641 - $26,600","$26,601 - $42,560","$42,561 - $63,840",">= $63,841",1330,266,665,1064,1596,<= $266,$267 - $665,"$666 - $1,064","$1,065 - $1,596",">= $1,597"
Memphrémagog (2445) 00000 ( 5.6%),"Memphrémagog (CD, QC)",58000,11600,29000,46400,69600,"<= $11,600","$11,601 - $29,000","$29,001 - $46,400","$46,401 - $69,600",">= $69,601",1450,290,725,1160,1740,<= $290,$291 - $725,"$726 - $1,160","$1,161 - $1,740",">= $1,741"
Brome-Missisquoi (2446) 00000 ( 4.7%),"Brome-Missisquoi (CD, QC)",58000,11600,29000,46400,69600,"<= $11,600","$11,601 - $29,000","$29,001 - $46,400","$46,401 - $69,600",">= $69,601",1450,290,725,1160,1740,<= $290,$291 - $725,"$726 - $1,160","$1,161 - $1,740",">= $1,741"
La Haute-Yamaska (2447) 00000 ( 5.0%),"La Haute-Yamaska (CD, QC)",55200,11040,27600,44160,66240,"<= $11,040","$11,041 - $27,600","$27,601 - $44,160","$44,161 - $66,240",">= $66,241",1380,276,690,1104,1656,<= $276,$277 - $690,"$691 - $1,104","$1,105 - $1,656",">= $1,657"
Acton (2448) 00000 ( 6.0%),"Acton (CD, QC)",50400,10080,25200,40320,60480,"<= $10,080","$10,081 - $25,200","$25,201 - $40,320","$40,321 - $60,480",">= $60,481",1260,252,630,1008,1512,<= $252,$253 - $630,"$631 - $1,008","$1,009 - $1,512",">= $1,513"
Drummond (2449) 00000 ( 4.5%),"Drummond (CD, QC)",52400,10480,26200,41920,62880,"<= $10,480","$10,481 - $26,200","$26,201 - $41,920","$41,921 - $62,880",">= $62,881",1310,262,655,1048,1572,<= $262,$263 - $655,"$656 - $1,048","$1,049 - $1,572",">= $1,573"
Nicolet-Yamaska (2450) 00000 ( 5.3%),"Nicolet-Yamaska (CD, QC)",53600,10720,26800,42880,64320,"<= $10,720","$10,721 - $26,800","$26,801 - $42,880","$42,881 - $64,320",">= $64,321",1340,268,670,1072,1608,<= $268,$269 - $670,"$671 - $1,072","$1,073 - $1,608",">= $1,609"
Maskinongé (2451) 00000 ( 4.3%),"Maskinongé (CD, QC)",50800,10160,25400,40640,60960,"<= $10,160","$10,161 - $25,400","$25,401 - $40,640","$40,641 - $60,960",">= $60,961",1270,254,635,1016,1524,<= $254,$255 - $635,"$636 - $1,016","$1,017 - $1,524",">= $1,525"
D'Autray (2452) 00000 ( 6.1%),"D'Autray (CD, QC)",55200,11040,27600,44160,66240,"<= $11,040","$11,041 - $27,600","$27,601 - $44,160","$44,161 - $66,240",">= $66,241",1380,276,690,1104,1656,<= $276,$277 - $690,"$691 - $1,104","$1,105 - $1,656",">= $1,657"
Pierre-De Saurel (2453) 00000 ( 4.2%),"Pierre-De Saurel (CD, QC)",52800,10560,26400,42240,63360,"<= $10,560","$10,561 - $26,400","$26,401 - $42,240","$42,241 - $63,360",">= $63,361",1320,264,660,1056,1584,<= $264,$265 - $660,"$661 - $1,056","$1,057 - $1,584",">= $1,585"
Les Maskoutains (2454) 00000 ( 3.8%),"Les Maskoutains (CD, QC)",55600,11120,27800,44480,66720,"<= $11,120","$11,121 - $27,800","$27,801 - $44,480","$44,481 - $66,720",">= $66,721",1390,278,695,1112,1668,<= $278,$279 - $695,"$696 - $1,112","$1,113 - $1,668",">= $1,669"
Rouville (2455) 00000 ( 5.3%),"Rouville (CD, QC)",65500,13100,32750,52400,78600,"<= $13,100","$13,101 - $32,750","$32,751 - $52,400","$52,401 - $78,600",">= $78,601",1638,328,819,1310,1965,<= $328,$329 - $819,"$820 - $1,310","$1,311 - $1,965",">= $1,966"
Le Haut-Richelieu (2456) 00000 ( 4.4%),"Le Haut-Richelieu (CD, QC)",62000,12400,31000,49600,74400,"<= $12,400","$12,401 - $31,000","$31,001 - $49,600","$49,601 - $74,400",">= $74,401",1550,310,775,1240,1860,<= $310,$311 - $775,"$776 - $1,240","$1,241 - $1,860",">= $1,861"
La Vallée-du-Richelieu (2457) 00000 ( 2.9%),"La Vallée-du-Richelieu (CD, QC)",85000,17000,42500,68000,102000,"<= $17,000","$17,001 - $42,500","$42,501 - $68,000","$68,001 - $102,000",">= $102,001",2125,425,1063,1700,2550,<= $425,"$426 - $1,063","$1,064 - $1,700","$1,701 - $2,550",">= $2,551"
Longueuil (2458) 00000 ( 3.4%),"Longueuil (CD, QC)",67000,13400,33500,53600,80400,"<= $13,400","$13,401 - $33,500","$33,501 - $53,600","$53,601 - $80,400",">= $80,401",1675,335,838,1340,2010,<= $335,$336 - $838,"$839 - $1,340","$1,341 - $2,010",">= $2,011"
Marguerite-D'Youville (2459) 00000 ( 2.9%),"Marguerite-D'Youville (CD, QC)",85000,17000,42500,68000,102000,"<= $17,000","$17,001 - $42,500","$42,501 - $68,000","$68,001 - $102,000",">= $102,001",2125,425,1063,1700,2550,<= $425,"$426 - $1,063","$1,064 - $1,700","$1,701 - $2,550",">= $2,551"
L'Assomption (2460) 00000 ( 2.4%),"L'Assomption (CD, QC)",74500,14900,37250,59600,89400,"<= $14,900","$14,901 - $37,250","$37,251 - $59,600","$59,601 - $89,400",">= $89,401",1863,373,931,1490,2235,<= $373,$374 - $931,"$932 - $1,490","$1,491 - $2,235",">= $2,236"
Joliette (2461) 00000 ( 5.3%),"Joliette (CD, QC)",53600,10720,26800,42880,64320,"<= $10,720","$10,721 - $26,800","$26,801 - $42,880","$42,881 - $64,320",">= $64,321",1340,268,670,1072,1608,<= $268,$269 - $670,"$671 - $1,072","$1,073 - $1,608",">= $1,609"
Matawinie (2462) 00000 ( 7.3%),"Matawinie (CD, QC)",49200,9840,24600,39360,59040,"<= $9,840","$9,841 - $24,600","$24,601 - $39,360","$39,361 - $59,040",">= $59,041",1230,246,615,984,1476,<= $246,$247 - $615,$616 - $984,"$985 - $1,476",">= $1,477"
Montcalm (2463) 00000 ( 4.5%),"Montcalm (CD, QC)",58000,11600,29000,46400,69600,"<= $11,600","$11,601 - $29,000","$29,001 - $46,400","$46,401 - $69,600",">= $69,601",1450,290,725,1160,1740,<= $290,$291 - $725,"$726 - $1,160","$1,161 - $1,740",">= $1,741"
Les Moulins (2464) 00000 ( 3.5%),"Les Moulins (CD, QC)",79000,15800,39500,63200,94800,"<= $15,800","$15,801 - $39,500","$39,501 - $63,200","$63,201 - $94,800",">= $94,801",1975,395,988,1580,2370,<= $395,$396 - $988,"$989 - $1,580","$1,581 - $2,370",">= $2,371"
Laval (2465) 00000 ( 3.0%),"Laval (CD, QC)",70000,14000,35000,56000,84000,"<= $14,000","$14,001 - $35,000","$35,001 - $56,000","$56,001 - $84,000",">= $84,001",1750,350,875,1400,2100,<= $350,$351 - $875,"$876 - $1,400","$1,401 - $2,100",">= $2,101"
